time,plant_id,plant_name,plant_code,inverter_id,inverter_name,inverter_brand,inverter_model,inverter_nominal_power_kw,power_kw,energy_kwh,intensity_cc_a,intensity_ca_a,voltage_cc_v,voltage_ca_v,uptime_h,temperature_c,readings
2022-11-09 14:30:00+01,1,Alcolea,SomEnergia_Alcolea,17,inversor2,NULL,NULL,NULL,93.94,578.4,NULL,NULL,NULL,NULL,28305.0,42,1.0
2022-11-09 14:30:00+01,1,Alcolea,SomEnergia_Alcolea,16,inversor1,NULL,NULL,NULL,0.0,588.2,NULL,NULL,NULL,NULL,28298.0,19,1.0
2022-11-09 14:30:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,28,inversor7,NULL,NULL,NULL,75.06,168.45,NULL,NULL,NULL,NULL,15556.0,NULL,1.0
2022-11-09 14:30:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,29,inversor8,NULL,NULL,NULL,77.17,163.65,NULL,NULL,NULL,NULL,16355.0,NULL,1.0
2022-11-09 14:30:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,23,inversor2,NULL,NULL,NULL,69.3,166.09,NULL,NULL,NULL,NULL,16617.0,NULL,1.0
2022-11-09 14:30:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,24,inversor3,NULL,NULL,NULL,72.33,163.93,NULL,NULL,NULL,NULL,16624.0,NULL,1.0
2022-11-09 14:30:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,25,inversor4,NULL,NULL,NULL,72.96,169.71,NULL,NULL,NULL,NULL,15786.0,NULL,1.0
2022-11-09 14:30:00+01,7,Matallana,SomEnergia_Exiom,33,inversor2,NULL,NULL,NULL,266.89,1066.2,NULL,NULL,NULL,NULL,18250.0,42,1.0
2022-11-09 14:30:00+01,1,Alcolea,SomEnergia_Alcolea,18,inversor3,NULL,NULL,NULL,95.57,596.7,NULL,NULL,NULL,NULL,28210.0,42,1.0
2022-11-09 14:30:00+01,1,Alcolea,SomEnergia_Alcolea,19,inversor4,NULL,NULL,NULL,91.41,566.7,NULL,NULL,NULL,NULL,28258.0,42,1.0
2022-11-09 02:30:00+01,6,Florida,SomEnergia_La_Florida,20,inversor1,NULL,NULL,NULL,0.0,4132190.6,NULL,NULL,NULL,NULL,13379.0,60,1.0
2022-11-09 14:30:00+01,7,Matallana,SomEnergia_Exiom,30,inversor3,NULL,NULL,NULL,275.54,658.1,NULL,NULL,NULL,NULL,18379.0,42,1.0
2022-11-09 14:30:00+01,7,Matallana,SomEnergia_Exiom,31,inversor4,NULL,NULL,NULL,251.76,656.8,NULL,NULL,NULL,NULL,18344.0,42,1.0
2022-11-09 14:30:00+01,7,Matallana,SomEnergia_Exiom,32,inversor1,NULL,NULL,NULL,448.0,652.3,NULL,NULL,NULL,NULL,17877.0,42,1.0
2022-11-09 14:25:00+01,7,Matallana,SomEnergia_Exiom,32,inversor1,NULL,NULL,NULL,0,620.2,NULL,NULL,NULL,NULL,17877.0,42,1.0
2022-11-09 14:25:00+01,7,Matallana,SomEnergia_Exiom,31,inversor4,NULL,NULL,NULL,382.38,620.6,NULL,NULL,NULL,NULL,18344.0,42,1.0
2022-11-09 14:25:00+01,7,Matallana,SomEnergia_Exiom,30,inversor3,NULL,NULL,NULL,390.39,621.4,NULL,NULL,NULL,NULL,18379.0,42,1.0
2022-11-09 14:25:00+01,7,Matallana,SomEnergia_Exiom,33,inversor2,NULL,NULL,NULL,390.4,1066.2,NULL,NULL,NULL,NULL,18250.0,42,1.0
2022-11-09 14:25:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,25,inversor4,NULL,NULL,NULL,83.09,163.07,NULL,NULL,NULL,NULL,15786.0,NULL,1.0
2022-11-09 14:25:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,23,inversor2,NULL,NULL,NULL,81.98,159.48,NULL,NULL,NULL,NULL,16617.0,NULL,1.0
2022-11-09 14:25:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,24,inversor3,NULL,NULL,NULL,82.28,157.32,NULL,NULL,NULL,NULL,16624.0,NULL,1.0
2022-11-09 14:25:00+01,3,Fontivsolar,SomEnergia_Fontivsolar,29,inversor8,NULL,NULL,NULL,81.73,157.08,NULL,NULL,NULL,NULL,16355.0,NULL,1.0
2022-11-09 02:25:00+01,6,Florida,SomEnergia_La_Florida,20,inversor1,NULL,NULL,NULL,0.0,4132177.2,NULL,NULL,NULL,NULL,13379.0,60,1.0
2022-11-09 14:25:00+01,1,Alcolea,SomEnergia_Alcolea,18,inversor3,NULL,NULL,NULL,98.66,588.4,NULL,NULL,NULL,NULL,28210.0,42,1.0
