plant,signal,metric,device,device_type,device_uuid,device_parent,signal_uuid
Llanillos,energia_reactiva_Q1,,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,90ea93b7-c440-47a9-a0eb-1324fded20c0
Llanillos,energia_reactiva_Q2,,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,729c8fd7-e0fa-44a5-b7d6-b755d08b6498
Llanillos,energia_reactiva_Q3,,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,4cf42281-5796-4e32-bda7-f84fb3da6f7d
Llanillos,energia_reactiva_Q4,,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,22e134b3-b294-40e8-9fd5-a863e6b992ca
Llanillos,Vr_MT,,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,388429dd-9695-4cf2-8b56-0c4dfa724704
Llanillos,Vs_MT,,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,f59fc65c-0480-4f84-9e9a-340eba074901
Llanillos,Vt_MT,,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,e82c8b3c-4073-4748-ba42-b75cd8b4a106
Llanillos,comunicacio_ok,,meter,meter,716015b3-3f17-47e9-8c64-b728bfbec467,,28d2cde2-9864-487a-a699-5ae7c9fcc366
Llanillos,potencia_activa,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,b27611c4-7c4b-4eed-8b1f-3a86b492ffcf
Llanillos,Vdc,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,f9e5d92e-2373-4042-b5fd-0f4b17090d88
Llanillos,Idc,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,56f431aa-9ed1-481e-88b2-3b671d2f549e
Llanillos,frequencia,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,87e0d708-05d3-4831-8d31-e3c7a4db6ff6
Llanillos,Ir_BT,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,85887f10-8e86-45c3-ac87-52888bfc7507
Llanillos,Is_BT,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,3a736cca-ccbe-427f-9197-496adb7a8b1b
Llanillos,It_BT,,inverter1,inverter,09343308-c76e-4b4d-b124-51227852af8f,,d1b2fd0c-c10b-4571-8c33-d3817ff8011b
